model,scheme,paper_TTLT,before_TTLT,after_TTLT,before_TTLT_std,after_TTLT_std,before_P99TPOT,after_P99TPOT,before_Ovhd,after_Ovhd,before_Nrec,after_Nrec,before_accept_pct,after_accept_pct,before_a_changed_pct,after_a_changed_pct,after_a_changes_total,after_traces_with_a_change,n_traces
qwen3-14b,SDA,425.16,407.0551,416.8531,55.6633,69.9273,41.4226,42.5781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,30
qwen3-14b,RT,488.17,504.8134,394.9635,49.3966,50.5255,44.146,36.6771,94.9438,31.3815,10.4333,3.7667,1.3911111111111112,0.5022222222222222,1.3911111111111112,0.37333333333333335,84,26,30
qwen3-14b,FM,416.5,395.9595,376.0595,42.4877,31.5322,38.8807,37.0741,19.3501,14.2871,2.8667,2.5,0.38222222222222224,0.3333333333333333,0.27555555555555555,0.16444444444444445,37,24,30
qwen3-14b,DACI,371.89,370.4539,372.0921,44.8388,45.1061,36.6889,36.8921,6.1839,5.9545,2.4333,2.3667,0.3244444444444444,0.31555555555555553,0.0,0.0,0,0,30
gemma3-4b,SDA,,95.3905,95.3905,12.5938,12.5938,10.0126,10.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,30
gemma3-4b,RT,,113.3333,109.9595,45.6355,8.3441,11.3845,9.4536,9.4375,22.2907,2.4333,6.1333,0.3244444444444444,0.8177777777777778,0.3244444444444444,0.76,171,30,30
gemma3-4b,FM,,117.1039,100.3182,43.9427,4.9848,13.1579,9.0516,5.1096,12.225,1.2667,3.3333,0.1688888888888889,0.4444444444444444,0.1688888888888889,0.4444444444444444,100,28,30
gemma3-4b,DACI,,95.9077,95.9077,11.4781,11.4781,10.6342,10.6342,0.2077,0.2077,0.2667,0.2667,0.035555555555555556,0.035555555555555556,0.0,0.0,0,0,30
llama-3.2-8b,SDA,,178.1313,178.1313,44.7297,44.7297,18.8481,18.8481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,30
llama-3.2-8b,RT,,167.7999,149.4614,38.0811,25.2417,15.87,14.3874,15.6277,13.7132,2.9333,4.4,0.39111111111111113,0.5866666666666667,0.39111111111111113,0.3244444444444444,73,26,30
llama-3.2-8b,FM,,147.8978,144.1341,36.7582,17.4831,15.049,14.943,6.0611,7.478,1.5667,1.5333,0.2088888888888889,0.20444444444444446,0.1511111111111111,0.1688888888888889,38,25,30
llama-3.2-8b,DACI,,148.2938,148.2938,32.918,32.918,15.0362,15.0362,3.5604,3.5604,2.4333,2.4333,0.3244444444444444,0.3244444444444444,0.0,0.0,0,0,30
